VMV_Code,National_Variable_Code,Variable_Common_Name,Variable_Common_Name_fr,variable_type,Variable_type_fr,measurement_unit,description,Description_fr,National_Method_Code,Method_Title,Method_Title_fr
77,635,NITROGEN TOTAL,AZOTE TOTAL,NITROGEN,AZOTE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,23,TOTAL NITROGEN MEASUREMENT BY PERSULFATE OXIDATION METHOD,AZOTE TOTAL PAR LA MTHODE D'OXYDATION AU PERSULFATE
78,365,ALKALINITY TOTAL HCO3,ALCALINIT TOTALE HCO3,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,30,TOTAL ALKALINITY USING TITRATION WITH STRONG ACID METHOD,ALCALINIT TOTALE PAR TITRATION AVEC UN ACIDE FORT
79,4541,CHLOROPHYLL CORRECTED,CHLOROPHYLLE CORRIGE,CHLOROPHYLL,CHLOROPHYLLE,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,35,CHLOROPHYLL A - COLORIMETRIC METHOD,CHLOROPHYLLE A - MTHODE COLORIMTRIQUE
80,414,CHLOROPHYLL A,CHLOROPHYLLE A,CHLOROPHYLL,CHLOROPHYLLE,G/L,MICROGRAM PER LITER,MICROGRAMME PAR LITRE,41,CHLOROPHYLL A - COLORIMETRIC METHOD,CHLOROPHYLLE A - MTHODE COLORIMTRIQUE
157,864,TURBIDITY,TURBIDIT,PHYSICAL,PHYSIQUE,NTU,NEPHELOMETRIC TURBIDITY UNIT,UNIT DE TURBIDIT NPHLOMTRIQUE,188,TURBIDITY IN WATER,TURBIDIT DANS L'EAU
160,1073,SOLIDS TOTAL,SOLIDES TOTAUX,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,189,SOLIDS IN WATER,SOLIDES DANS L'EAU
201,837,TOTAL DISSOLVED SOLIDS (FILTERABLE RESIDUE) (CALCD.),SOLIDES DISSOUS TOTAUX (RSIDUS FILTRABLES) (CALC.),PHYSICAL,PHYSIQUE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,8,CALCULATED VALUE,VALEUR CALCULE
202,837,TOTAL DISSOLVED SOLIDS (FILTERABLE RESIDUE) (CALCD.),SOLIDES DISSOUS TOTAUX (RSIDUS FILTRABLES) (CALC.),PHYSICAL,PHYSIQUE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,9,CALCULATED VALUE,VALEUR CALCULE
210,762,SATURATION INDEX (CALCD.),INDICE DE SATURATION (CALC.),PHYSICAL,PHYSIQUE,PH,PH UNIT,UNIT PH,15,CALCULATED VALUE,VALEUR CALCULE
211,824,STABILITY INDEX (CALCD.),INDICE DE STABILIT (CLAC.),PHYSICAL,PHYSIQUE,PH,PH UNIT,UNIT PH,16,CALCULATED VALUE,VALEUR CALCULE
444,612,NITROGEN NITRITE,AZOTE NITRITES,NITROGEN,AZOTE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,617,IONS BY ION EXCHANGE CHROMATOGRAPHY; EQUIVALENT TO BC MELP EMS CODE X044,IONS PAR CHROMATOGRAPHIE D'CHANGE D'IONS - MTHODE QUIVALENTE  LA BC MELP EMS CODE X044
923,758,SALINITY,SALINIT,PHYSICAL,PHYSIQUE,PSU,PRACTICAL SALINITY SCALE,CHELLE DE SALINIT PRATIQUE,923,SALINITY BY CALCULATION USING ELECTRICAL CONDUCTIVITY METHOD,SALINIT PAR CALCUL UTILISANT LA MTHODE CONDUCTIVIT LECTRIQUE
1047,443,COLOUR TRUE,COULEUR VRAIE,PHYSICAL,PHYSIQUE,CTU,COLOUR TRUE UNIT,UNIT COULEUR VRAIE,3023,TRUE COLOUR IN WATER IS DETERMINED BY A SPECTROPHOTOMETER.,
1062,864,TURBIDITY,TURBIDIT,PHYSICAL,PHYSIQUE,NTU,NEPHELOMETRIC TURBIDITY UNIT,UNIT DE TURBIDIT NPHLOMTRIQUE,10000,BC MELP EMS CODE: XM08,
1064,659,OXYGEN DISSOLVED,OXYGNE DISSOUS,OXYGEN,OXYGNE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10025,WINKLER AZIDE TITRATION METHOD EQUIVALENT BC MELP X047,MTHODE DE TITRAGE  L'AZIDE WINKLER QUIVALENTE MELP X047 DE LA COLOMBIE-BRITANNIQUE
1065,408,CALCIUM  TOTAL,CALCIUM TOTAL,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10029,BC MELP EMS CODE: 0042,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE: 0042
1067,478,CARBON DISSOLVED ORGANIC,CARBONE ORGANIQUE DISSOUS,CARBON,CARBONE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10036,BC MELP EMS CODE: 0914,
1069,749,RESIDUE NONFILTERABLE,RSIDUS NON-FILTRABLES,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10045,BC MELP EMS CODE: 1070,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE: 1070
1070,749,RESIDUE NONFILTERABLE,RSIDUS NON-FILTRABLES,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAM PER LITER,MILLIGRAMME PAR LITRE,10046,BC MELP EMS CODE: 1071,CODE DU SSE DU MELP DE LA COLOMBIE-BRITANNIQUE: 1071
